epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,842.013,1.43927,2.89272,1.65911,1.59918,0.27239,0.20833,0.20068,0.06992,0.22297,0.08333,0.05742,0.03252,2.73408,3.85799,2.95804,3.16154,0.0007922,0.0007922,0.0007922
63,856.028,1.39258,2.77761,1.62614,1.58255,0.44624,0.16667,0.18705,0.06966,0.64006,0.08333,0.08919,0.04815,2.6219,3.86794,2.99932,3.07407,0.0007724,0.0007724,0.0007724
64,870.144,1.42192,2.81864,1.61258,1.58751,0.35748,0.29167,0.19075,0.06467,0.61977,0.08333,0.09292,0.05397,2.56335,3.87004,3.01791,3.00757,0.0007526,0.0007526,0.0007526
65,882.404,1.39501,2.88137,1.57616,1.56845,0.24427,0.25,0.14667,0.05011,0.63765,0.08333,0.08113,0.04734,2.56034,3.73651,2.82461,3.01554,0.0007328,0.0007328,0.0007328
66,893.654,1.37608,2.76708,1.49201,1.52666,0.21491,0.33333,0.15848,0.06962,0.64615,0.08333,0.0781,0.04502,2.55559,3.72608,2.79387,2.90662,0.000713,0.000713,0.000713
67,909.076,1.42301,2.8513,1.67162,1.58212,0.29426,0.25,0.15142,0.0644,0.63913,0.08333,0.07423,0.03821,2.54335,3.72447,2.77378,2.81819,0.0006932,0.0006932,0.0006932
68,921.604,1.39761,3.00778,1.48569,1.54989,0.41475,0.25,0.23221,0.08856,0.90154,0.08333,0.08702,0.04522,2.5014,3.64884,2.72049,2.74175,0.0006734,0.0006734,0.0006734
69,933.279,1.38245,2.9672,1.54923,1.56553,0.41311,0.16667,0.20586,0.09157,0.93364,0.08333,0.08677,0.05155,2.52239,3.57095,2.69315,2.82856,0.0006536,0.0006536,0.0006536
70,944.727,1.3879,2.85716,1.49868,1.54011,0.65898,0.25,0.27527,0.09151,0.94745,0.08333,0.08698,0.05229,2.44605,3.58145,2.70926,2.74431,0.0006338,0.0006338,0.0006338
71,958.809,1.32284,2.97722,1.49305,1.52436,0.59184,0.25,0.27923,0.0871,0.92559,0.08333,0.08769,0.05236,2.38167,3.5903,2.79351,2.76303,0.000614,0.000614,0.000614
72,971.801,1.30575,2.89981,1.43229,1.51127,0.32556,0.29167,0.22723,0.08445,0.82125,0.08333,0.08799,0.04842,2.52276,3.67231,2.73079,2.92179,0.0005942,0.0005942,0.0005942
73,987.785,1.23224,2.7155,1.41025,1.47857,0.43291,0.29167,0.31221,0.08659,0.88413,0.08333,0.08644,0.04802,2.66043,3.63113,2.66741,3.02984,0.0005744,0.0005744,0.0005744
74,1000.07,1.45401,2.86225,1.46321,1.56774,0.33701,0.29167,0.26686,0.09887,0.66247,0.08333,0.08646,0.04959,2.58435,3.54596,2.66365,2.97991,0.0005546,0.0005546,0.0005546
75,1012.21,1.2869,2.86241,1.39317,1.49698,0.47328,0.20833,0.21876,0.08405,0.42065,0.08333,0.0661,0.04065,2.56036,3.56402,2.60542,2.93091,0.0005348,0.0005348,0.0005348
76,1023.14,1.26149,2.76065,1.38043,1.48891,0.30132,0.33333,0.26937,0.09271,0.52105,0.08333,0.07308,0.04332,2.49249,3.48525,2.63564,2.83457,0.000515,0.000515,0.000515
77,1034.89,1.36853,2.72445,1.46902,1.59316,0.32128,0.29602,0.26866,0.08949,0.34869,0.08333,0.06593,0.04674,2.49134,3.4186,2.64233,2.84836,0.0004952,0.0004952,0.0004952
78,1049.38,1.29324,2.7529,1.41063,1.51379,0.30669,0.36882,0.25063,0.08085,0.27621,0.08333,0.06719,0.04514,2.52328,3.4479,2.6461,2.86347,0.0004754,0.0004754,0.0004754
79,1060.76,1.26685,2.75984,1.43466,1.53409,0.20731,0.33333,0.19435,0.07522,0.21596,0.125,0.0697,0.04312,2.51469,3.47414,2.712,2.83576,0.0004556,0.0004556,0.0004556
80,1076.62,1.25856,2.68279,1.37504,1.4699,0.23988,0.20833,0.1819,0.06459,0.12801,0.08333,0.05552,0.03383,2.56396,3.54972,2.75564,2.90548,0.0004358,0.0004358,0.0004358
81,1088.06,1.24257,2.69026,1.33186,1.44234,0.29693,0.29167,0.19322,0.06288,0.17603,0.08333,0.05443,0.03564,2.53869,3.60434,2.85019,2.8958,0.000416,0.000416,0.000416
82,1101.9,1.31466,2.74843,1.46577,1.58005,0.18291,0.375,0.17596,0.05937,0.24622,0.08333,0.06547,0.03292,2.55207,3.62839,2.82497,2.90376,0.0003962,0.0003962,0.0003962
83,1116.18,1.25466,2.81208,1.36387,1.46347,0.24882,0.20833,0.177,0.06462,0.3625,0.08333,0.0736,0.04285,2.61334,3.60961,2.7735,2.96106,0.0003764,0.0003764,0.0003764
84,1130.12,1.23985,2.72728,1.37336,1.47332,0.13016,0.29167,0.17531,0.06411,0.4152,0.08333,0.07356,0.04544,2.607,3.64061,2.78972,2.91668,0.0003566,0.0003566,0.0003566
85,1141.34,1.21154,2.6818,1.29213,1.42011,0.17333,0.33333,0.16807,0.06599,0.52504,0.08333,0.07369,0.04793,2.59474,3.67819,2.76229,2.90144,0.0003368,0.0003368,0.0003368
86,1156.87,1.1493,2.65337,1.27687,1.3999,0.14622,0.2714,0.1639,0.06918,0.47255,0.08333,0.07475,0.04828,2.56992,3.66006,2.69871,2.88643,0.000317,0.000317,0.000317
87,1172.45,1.31004,2.73027,1.4235,1.55968,0.14941,0.20833,0.17749,0.07666,1,0.08233,0.08826,0.05632,2.56949,3.61581,2.71336,2.90729,0.0002972,0.0002972,0.0002972
88,1185.03,1.23278,2.50346,1.2917,1.44077,0.4933,0.12221,0.18218,0.07984,1,0.08274,0.0882,0.05631,2.56628,3.62212,2.70527,2.89238,0.0002774,0.0002774,0.0002774
89,1199.54,1.16258,2.71764,1.23232,1.42536,0.49976,0.125,0.18389,0.07845,0.99007,0.08333,0.08839,0.05637,2.53702,3.59458,2.71691,2.83312,0.0002576,0.0002576,0.0002576
90,1212.46,1.31954,2.73241,1.32336,1.53061,0.23077,0.15064,0.18696,0.07775,0.91467,0.08333,0.08917,0.05694,2.536,3.52199,2.74836,2.81783,0.0002378,0.0002378,0.0002378
91,1249.37,1.2566,2.40734,1.39897,1.63964,0.22578,0.125,0.20934,0.08007,0.90844,0.08333,0.08982,0.05673,2.55204,3.51342,2.85297,2.83151,0.000218,0.000218,0.000218
92,1262.01,1.26145,2.36809,1.53372,1.74324,0.3612,0.16667,0.19335,0.06768,0.91391,0.08333,0.09013,0.05293,2.56711,3.49709,2.95148,2.84976,0.0001982,0.0001982,0.0001982
93,1274.31,1.1139,2.33574,1.27184,1.58417,0.30246,0.125,0.19082,0.06623,0.92266,0.08333,0.08994,0.04889,2.64326,3.50145,3.00574,2.93388,0.0001784,0.0001784,0.0001784
94,1287.53,1.0681,2.22958,1.2128,1.47656,0.28629,0.125,0.16011,0.06101,0.92557,0.08333,0.09047,0.04839,2.65606,3.46852,3.07587,2.92497,0.0001586,0.0001586,0.0001586
95,1298.97,1.03357,2.31559,1.15457,1.45433,0.92822,0.08333,0.14916,0.05724,0.92822,0.08333,0.09066,0.04841,2.66214,3.49437,3.0847,2.95728,0.0001388,0.0001388,0.0001388
96,1311.15,1.02594,2.22656,1.16402,1.47543,0.93329,0.08333,0.16418,0.06003,0.93329,0.08333,0.09022,0.05236,2.64479,3.46929,3.0628,2.94728,0.000119,0.000119,0.000119
97,1323.45,1.0418,2.14154,1.11006,1.45814,0.16765,0.19338,0.17113,0.06439,0.93349,0.08333,0.09112,0.05245,2.62794,3.45846,2.96794,2.91985,9.92e-05,9.92e-05,9.92e-05
98,1335.54,1.05684,2.25302,1.20349,1.47661,0.1712,0.20833,0.18449,0.07246,0.93368,0.08333,0.09062,0.05686,2.60407,3.44313,2.87811,2.88472,7.94e-05,7.94e-05,7.94e-05
99,1347.93,1.01279,2.19487,1.15794,1.51834,0.18464,0.20833,0.18449,0.07663,0.93909,0.08333,0.0902,0.05678,2.58869,3.45658,2.79347,2.86603,5.96e-05,5.96e-05,5.96e-05
100,1360.5,0.9579,2.08964,1.08969,1.44009,0.17919,0.20833,0.18143,0.08012,0.93867,0.08333,0.0902,0.05678,2.56274,3.44055,2.75949,2.84439,3.98e-05,3.98e-05,3.98e-05
